name_a,name_b,score,ortho_sim,phon_sim,manual_review_ok
Conaz,Fixal,0.4611,0.2000,0.7222,
Conaz,Nexcap,0.4611,0.1667,0.7556,
Diflu,Fixal,0.4611,0.2000,0.7222,
Exium,Fexo,0.4611,0.2000,0.7222,
Beklo,Bicozin,0.4603,0.1429,0.7778,
Alatrol,Esoral,0.4595,0.2857,0.6333,
Alatrol,Flamyd,0.4595,0.2857,0.6333,
Alatrol,Flugal,0.4595,0.2857,0.6333,
Alatrol,Ketozol,0.4595,0.2857,0.6333,
Atrizin,Fenadin,0.4595,0.2857,0.6333,
Atrizin,Romycin,0.4595,0.2857,0.6333,
Atrizin,Trilock,0.4595,0.2857,0.6333,
Atrizin,Zithrin,0.4595,0.2857,0.6333,
Axodin,Disopan,0.4595,0.2857,0.6333,
Axodin,Ketocon,0.4595,0.2857,0.6333,
Axodin,Metsina,0.4595,0.2857,0.6333,
Axodin,Nizoder,0.4595,0.2857,0.6333,
Axodin,Romycin,0.4595,0.2857,0.6333,
Bacmax,Bicozin,0.4595,0.2857,0.6333,
Bicozin,Esonix,0.4595,0.2857,0.6333,
Bicozin,Omastin,0.4595,0.2857,0.6333,
Denixil,Exium,0.4595,0.2857,0.6333,
Denixil,Ketoral,0.4595,0.2857,0.6333,
Disopan,Esonix,0.4595,0.2857,0.6333,
Esonix,Metsina,0.4595,0.2857,0.6333,
Etizin,Omastin,0.4595,0.2857,0.6333,
Fenadin,Omastin,0.4595,0.2857,0.6333,
Filmet,Telfast,0.4595,0.2857,0.6333,
Ketocon,Nexcap,0.4595,0.2857,0.6333,
Maxima,Omastin,0.4595,0.2857,0.6333,
Montair,Omastin,0.4595,0.2857,0.6333,
Dinafex,Napa Extend,0.4586,0.2727,0.6444,
Napa Extend,Omastin,0.4586,0.2727,0.6444,
Rhinil,Ritch,0.4583,0.3333,0.5833,
Aceta,Amodis,0.4583,0.1667,0.7500,
Backtone,Odmon,0.4583,0.2500,0.6667,
Baclon,Canazole,0.4583,0.2500,0.6667,
Conaz,Fexofast,0.4583,0.2500,0.6667,
Dancel,Diflu,0.4583,0.1667,0.7500,
Fexo,Flugal,0.4583,0.1667,0.7500,
Flexibac,Vifas,0.4583,0.2500,0.6667,
Maxima,Monas,0.4583,0.1667,0.7500,
Renova,Rhinil,0.4583,0.1667,0.7500,
Denixil,Fenadin,0.4560,0.4286,0.4833,
Amodis,Azithrocin,0.4556,0.3000,0.6111,
Azithrocin,Disopan,0.4556,0.3000,0.6111,
Azithrocin,Etizin,0.4556,0.3000,0.6111,
Azithrocin,Romycin,0.4556,0.3000,0.6111,
Backtone,Candinil,0.4542,0.1250,0.7833,
Alatrol,Atrizin,0.4514,0.1429,0.7600,
Aceta,Backtone,0.4514,0.3750,0.5278,
Flexilax,Vifas,0.4504,0.2500,0.6508,
Maxpro,Nexcap,0.4500,0.1667,0.7333,
Napa,Nexcap,0.4500,0.3333,0.5667,
